S.no,Location,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,1995,1990,1980,1970,1960,1950,Peak production [20][21][18] [24][19][22][7],Peak year
,World,93546599,85016728,80145988,77621582,91786861,95634593,97302534,95057929,90780583,89747430,87507027,84141209,80092840,77629127,66482439,58374162,50046000,48553969,38564516,29419484,16488340,10577426,97302534,2017
1,China,30160966,"27,020,615",26082220,25225242,25720665,27809196,29015434,28118794,24503326,23722890,22116825,19271808,18418876,18264761,5717619,2069069,1434772,509242,222288,87166,22574,,30160966,2023
2,United States,10611555,10060339,9167214,8822399,10880019,11314705,11189985,12198137,12100095,11660699,11066432,10335765,8661535,7743093,11946653,12799857,11985457,9782997,8009841,8283949,7905119,8005859,"13,024,978",1999
3,Japan,8997440,7835519,7846955,8067557,9684298,9728528,9693746,9204590,9278321,9774558,9630181,9943077,8398630,9628920,10799659,10140796,10195536,13486796,11042884,5289157,481551,31597,13486796,1990
4,India,5851507,5456857,4399112,"3,490,000",4516017,5174645,"4,782,896","4,519,341","4,160,585",3840160,3898425,4174713,3927411,3557073,1638674,801360,"636,000",362655,113917,76409,51136,14688,5851507,2023
5,South Korea,4244000,3757049,3462404,3506774,3950617,4028834,4134913,4228509,4555957,4524932,4521429,4561766,4657094,4271741,3699350,3114998,2526400,1321630,123135,28819,0,0,4657094,2011
6,Germany,4109371,3677820,3308692,3742454,4661328,5120409,"5,645,581","5,746,808",6033164,5907548,5718222,5649260,6146948,5905985,5757710,5526615,4667364,4976552,3878553,3842247,2056149,306064,6213460,2007
7,Mexico,4002047,3509072,3145653,3176600,3986794,4100770,4137544,4396356,4029463,4664779,4219380,4002508,3907861,"3,981,728",3583076,3099522,2629008,1814466,1565174,916089,533041,0,4664779,2013
8,Spain,2451221,2219462,2098133,2268185,2822355,2819565,2848335,2885922,2733201,2402978,2163338,1979179,2373329,2387900,2752500,3032874,2333787,2053350,1181659,539132,58209,253,3032874,2000
9,Brazil,2324838,2369769,2248253,2014055,2944988,2879809,2699672,2156356,2429463,3146306,3712380,3402508,3407861,3381728,2530840,1681527,1629008,914466,1165174,416089,133041,0,3712380,2013
10,Thailand,1841663,1883515,1685705,1427074,2013710,2167694,1988823,1944417,1915420,1880007,2457057,2429142,1457798,1644513,1122712,411721,533200,304843,73347,22055,0,0,2457057,2013
11,Canada,1553026,1228735,1115002,1376623,1916585,2020840,2199789,2370271,2283474,2393890,2379806,2463364,2135121,2068189,2687892,2961636,2407999,1947106,1369607,1159504,397739,387726,3058813,1999
12,France,1505076,1383173,1351308,1316371,2202460,2270000,2227000,"2,082,000","1,972,000","1,817,000","1,740,000",1967765,2242928,2229421,3549008,3348361,3474705,3768993,3378433,2750086,1369210,357512,"3,919,776",1989
13,Turkey,1468393,1352648,1276140,1297878,1461244,1550150,1695731,1485927,1358796,1170445,1125534,1072978,1189131,1094557,879452,430947,282000,209150,50881,25000,0,0,1695731,2017
14,Czech Republic,1404501,1224456,1111432,1159151,1433963,1442884,1419993,1349896,1303603,1251220,1132931,1178995,1199845,1076384,602237,455492,216000,,,,,,1442884,2018
15,Indonesia,1395717,1470146,1121967,691286,1286848,1343714,1216615,1177389,1098780,1298523,1206368,1052895,838388,702508,500710,379300,292710,,103000,,,,1470146,2022
16,Iran,1188471,1064215,894298,880997,821060,1095526,1515396,"1,164,710",982337,1090846,743647,1000089,1649311,1599454,1077190,277985,,44665,161000,35000,,,1649311,2011
17,Slovakia,1080000,1000000,1000000,990598,1107902,1090000,1001520,1040000,1035503,993000,975000,926555,639763,561933,218349,181783,22600,-,-,-,-,-,1107902,2019
18,United Kingdom,1025474,"876,614",932488,987044,1381405,1604328,1749385,1816622,1682156,1598879,1597433,1576945,1463999,1393463,1803109,1813894,"1,765,000",1565957,1312914,2098498,1810700,783672,2332376,1963
19,Italy,880085,796324,795856,777165,915305,1060068,1142210,1103516,1014223,697864,658206,671768,790348,838186,1038352,1738315,1667270,2120850,1610287,1854252,644633,127847,2220774,1989
20,Malaysia,774600,702225,481651,485186,571632,564800,460140,"513,445",614671,596600,601407,572150,533695,567715,563408,282830,164000,191580,104227,,,,774600,2023
21,Russia,729864,608060,1566317,1435335,1719784,1767674,1551293,1303989,1384399,1886646,2184266,2233103,1990155,1403244,1354504,1205581,608460,,,,,,2233103,2012
22,South Africa,633337,555889,499087,447218,631983,610854,589951,599004,615658,566083,545913,539424,532545,472049,525227,345297,,334779,404766,297573,,,633337,2023
23,Poland,612882,483840,439421,451382,498158,809646,789729,781837,760603,693904,690159,654756,708133,609474,543200,404972,381000,287975,237834,113087,37000,1000,"950,908",2008
24,Argentina,610725,536893,434753,257187,314787,466649,"472,158","472,776","533,683",617329,791007,764495,828771,716540,319755,339632,286000,99639,281793,219599,89000,,828771,2011
25,Morocco,535825,464864,403007,248430,394652,402085,376286,345106,288329,231986,"167,452","108,743",59477,42066,33992,31314,,,,,,,535825,2023
26,Romania,513050,509465,420755,438107,490412,476769,359250,359306,387177,391422,410997,337765,335232,350912,194802,78165,93000,"94,000",124000,59000,12000,,513050,2023
27,Hungary,507225,441729,394302,406497,498158,430988,505400,472000,"495,370",437599,222400,217840,202800,211461,152015,137398,53000,,,,3000,,507225,2023
28,Uzbekistan,425876,333569,241649,280080,271113,220667,140247,88152,185400,245660,246641,"164,180",179560,156880,94437,32273,,,,,,,425876,2023
29,Belgium,332103,276554,261038,267293,285797,308493,379140,399427,409340,516832,503504,538848,595084,555302,926515,1033294,468000,1248290,923426,296000,"1,000",,1248290,1990
30,Portugal,318231,322404,289954,264236,345704,294366,175544,143096,156626,161509,154016,163561,192242,158723,226834,245784,57000,"26,000",91000,,,,345704,2019
31,Taiwan,285962,261263,265320,245615,251304,253241,291563,309531,351085,379223,338720,339038,343296,303456,446345,361800,406000,"382,000",132116,,,,446345,2005
32,Sweden,276750,238955,257446,258000,249000,279000,291000,226000,205374,"188,987","154,173","161,080","162,814","188,969",217084,339229,301343,490000,"344,000",317000,311000,129000,494000,1999
33,Vietnam,177435,232410,"163,250 [citation needed]","165,568 [citation needed]","250,000 [citation needed]","237,000 [citation needed]","236,161",236161,"50,000",48871,"37,576","40,470",31181,42286,"31,600","6,862",,,,,,,250000,2019
34,Kazakhstan,146989,112540,92417,74831,49400,31545,19071,10651,14477,40162,40684,19186,8195,3176,,,,,,,,,146989,2023
35,Netherlands,123379,101670,107021,127058,176113,214000,157280,"44,430","44,122","29,807",29183,57462,"73,151",94132,102204,98823,132000,"111,000",97000,79000,19000,,307220,1999
36,Austria,114191,107500,136700,104544,179400,164900,99880,"108,000","125,500","154,340","166,428","143,060",152505,104814,253279,141026,68000,"20,000",14000,7000,13000,,274932,2006
37,Philippines,110350,92223,85874,67297,95094,79763,141251,116686,"112,493",106938,"52,260","55,360",53921,65625,64492,38877,107000,,,,,,213402,2007
38,Pakistan,79513,235454,238702,117375,186751,269700,250800,214650,229686,148746,134145,165700,162194,152970,153393,31500,,,,,,,418500,2021
39,Slovenia,60881,68130,95797,141714,199102,209378,189852,133702,133092,118591,93734,130949,174119,205711,187247,98953,,,,,,,212749,2009
40,Colombia,34700,51455,40764,47281,78020,75476,74994,"79,036","78,070",71137,"70,686",32466,41714,109333,"23,979",,"34,850",43000,,,,,109333,2010
41,Finland,30191,73044,93172,86270,114785,112104,91598,"55,280","69,053","45,035",7703,"2,900",2540,6665,21644,38926,,,,,,,114785,2019
42,Australia,7141,6077,5391,4730,5606,6371,98632,161294,173009,180311,215926,209730,224193,243495,394713,347122,331000,"284,000",361000,475000,204000,58000,498000,1974
43,Azerbaijan,4649,2049,2173,1949,2360,1453,247,415,2145,669,,,,,,,,,,,,,6397,2024
44,Algeria,2456,2773,5208,754,60012,70597,60606,42008,19346,1244,0,,,,,,,,,,,,70597,2018
45,Ukraine,1993,1490,8153,4952,7266,6623,9542,5264,8244,28751,50449,76281,104654,83133,215759,31255,"67,400 [circular reference]",,206700,115700,7500,18300,423127,2008
46,Myanmar,1475,,1957,10753,15496,,,,,,,,,,,,,,,,,,15496,2019
47,Serbia,186,4498,21263,23375,35115,56449,79912,80320,"83,630",103150,113878,11032,11023,18033,14179,12740,,,,,,,??,1988
,North Korea,,2000,2000,2000,2000,3000,3000,4000,4000,4000,4000,4000,4000,4000,5000,7000,9000,13000,,,,3000,??,??
,Belarus,,,29891,31273,30487,23235,13428,16864,15033,22990,22926,25425,24343,15249,26995,19324,,,40100,29800,18700,2400,40100,1980
,Egypt,,,23754,23754,18500,71600,36640,"36,230","36,000",42515,"39,050","56,480",81731,116683,123425,59765,,,,,,,123425,2005
,Ecuador,,,,,,"2,700","2,700","4,800",5986,"24,322","24,322",24322,22335,32254,41047,,,,,,,,41047,2000
,Bulgaria,,,,,,,,,,"2,508",2200,0,0,0,0,2200,,21000,12000,,,,21000,1990
,Tunisia,,,,,,2000,"1,940","1,940",540,540,"1,860","1,860",1860,0,,,,,,,,,??,??
,Venezuela,,,,,,1774,2850,18300,19759,71753,104083,102409,104357,135425,21190,96400,,153000,,,,,175458,2006
,Bangladesh,,,,,,580,580,540,536,,,,0,0,0,0,0,0,0,0,0,0,??,??
,New Zealand,,,,,,,,0,0,0,0,0,0,0,0,,,90000,55178,32409,9731,,123000,1982
,Ireland,,,,,,,,,,,,,,,,,,47000,,,,,47000,1981
,Greece,,1,,,,,,,,,,,,,,,567,"18,333","18,187","2,200",,,??,??
,Zimbabwe,,,1,,,0,0,0,0,829,829,829,257,960,792,,,,,,,,??,??
,Kenya,,,,,,0,0,0,0,"3,080","3,080",2945,0,405,288,,,,,,,,??,??
,Uruguay,,,1,,,0,0,0,0,0,0,0,0,0,14404,,,,,,,,??,??
,Chile,,,,,,0,0,0,0,0,0,0,4700,"6,660","5,245",,,,,,,,10804,2007
,Nigeria,,,,,,0,0,0,0,0,0,0,0,2937,7834,,,,,,,,??,??
,Peru,,,,,,0,0,0,0,0,0,0,0,1566,,,,,,,,,??,??
,Note 2. Former countries,,,,,,,,,,,,,,,,,,,,,,,,
—,Soviet Union,,,,,—,—,—,—,—,—,—,—,—,—,—,—,2039600,2199200,916118,523591,362985,2247500,1985,
—,Czechoslovakia,,,,,—,—,—,—,—,—,—,—,—,—,—,—,242000,233112,169920,75000,31000,242000,1990,
—,Yugoslavia,,,,,—,—,—,—,—,—,—,—,—,—,—,—,"239,000",278000,124000,16000,1000,318300,1988,
—,East Germany,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,216585,153378,77350,8243,264444,1986,
